state,state_name,total_facilities,ambetter,bluecross_blueshield,aetna,cigna,united_healthcare,optum,humana,anthem,molina_healthcare,magellan_health,carelon_behavioral_health,kaiser_permanente,wellcare,multiplan,amerihealth,healthpartners,health_net,compsych,highmark,first_health,intermountain_health,evernorth,mhn,carefirst,geha,tufts_health,guidewell,oscar
california,California,1505,14,258,203,195,113,168,117,204,50,141,125,171,30,68,48,37,139,78,52,70,11,17,73,30,30,20,14,9
new-york,New York,988,2,91,86,72,82,28,35,42,47,9,41,2,50,28,4,8,4,5,18,12,0,2,3,1,11,3,3,0
ohio,Ohio,866,182,62,87,37,50,28,60,60,53,14,15,12,26,5,47,3,10,2,10,4,1,2,4,1,2,0,2,1
pennsylvania,Pennsylvania,781,116,99,94,90,86,70,42,34,21,62,41,15,13,21,30,16,10,26,68,3,0,25,6,4,7,0,0,1
florida,Florida,769,175,110,108,106,80,60,75,44,38,33,56,11,14,22,19,9,27,19,32,28,15,2,8,16,30,10,26,13
illinois,Illinois,758,124,107,102,86,49,52,78,40,45,47,38,11,31,38,5,42,4,42,1,6,0,37,4,8,3,4,1,2
texas,Texas,676,131,88,81,69,57,43,49,21,31,48,24,7,7,31,6,2,12,30,2,15,0,14,19,5,11,15,2,8
maryland,Maryland,608,1,69,59,57,40,25,23,6,1,19,16,19,0,9,3,4,5,16,3,4,0,7,4,51,6,1,0,0
north-carolina,North Carolina,552,68,78,61,54,51,28,37,12,10,10,6,7,30,8,44,11,4,2,3,1,4,7,1,0,1,1,0,9
michigan,Michigan,524,61,45,32,30,33,29,27,28,34,26,10,26,27,23,24,24,20,23,22,2,22,20,1,20,1,2,21,1
kentucky,Kentucky,522,50,42,41,33,24,34,39,41,25,9,12,15,34,3,20,10,9,2,10,3,6,5,1,0,0,0,0,0
minnesota,Minnesota,519,2,47,32,28,29,40,21,10,2,7,8,10,2,2,2,55,8,8,1,8,2,5,8,0,0,0,5,0
arizona,Arizona,507,98,62,55,43,42,20,36,14,11,23,19,8,3,27,4,4,25,11,3,9,5,15,12,1,16,2,1,2
indiana,Indiana,494,84,51,22,17,23,8,6,49,2,3,5,2,2,1,2,0,3,1,3,3,2,0,1,0,0,0,0,0
new-jersey,New Jersey,487,54,71,89,73,62,53,32,36,18,30,35,13,32,14,41,9,19,8,24,15,2,5,8,8,5,6,4,7
massachusetts,Massachusetts,417,2,51,44,41,35,27,15,14,1,5,13,2,7,6,3,8,10,4,5,1,0,4,3,1,5,38,1,2
tennessee,Tennessee,406,82,61,60,43,43,12,30,18,12,4,4,14,19,15,7,8,1,2,1,1,8,0,0,1,1,1,1,1
virginia,Virginia,386,10,67,58,58,30,46,52,57,19,23,23,34,15,7,18,13,16,13,9,15,7,1,7,7,9,0,0,1
washington,Washington,385,138,38,32,33,21,14,11,6,30,5,7,31,6,5,0,1,5,6,3,6,0,8,5,0,2,0,1,0
utah,Utah,382,4,41,39,35,32,32,19,9,28,14,5,5,4,10,4,6,5,7,4,7,57,7,5,4,2,0,4,0
missouri,Missouri,353,57,41,31,29,18,25,16,26,8,3,4,8,10,19,9,8,2,16,0,6,5,16,1,1,0,1,0,1
georgia,Georgia,349,65,30,24,25,17,16,22,18,6,10,10,13,16,4,7,5,5,5,6,4,2,2,2,1,1,0,0,3
wisconsin,Wisconsin,345,6,31,21,18,27,9,14,24,21,1,2,4,1,16,1,21,1,1,0,13,0,2,3,1,0,0,1,0
colorado,Colorado,323,4,44,33,34,30,15,23,30,5,2,19,14,4,1,15,12,6,3,1,2,6,1,7,1,2,1,1,2
