carrier,national,top_state,in_top_state,pct_of_national,states_with_25plus,states_viable_at_gate3
health-net,379,california,139,36.7,3,24
mhn,218,california,73,33.5,1,20
kaiser-permanente,544,california,171,31.4,4,32
tufts-health,131,massachusetts,38,29.0,1,9
carefirst,181,maryland,51,28.2,2,12
guidewell,95,florida,26,27.4,1,8
intermountain-health,231,utah,57,24.7,2,19
first-health,291,california,70,24.1,2,26
magellan-health,609,california,141,23.2,7,31
highmark,301,pennsylvania,68,22.6,3,18
compsych,364,california,78,21.4,4,25
carelon-behavioral-health,600,california,125,20.8,6,32
anthem,1031,california,204,19.8,14,41
oscar,74,florida,13,17.6,0,6
geha,172,florida,30,17.4,2,15
evernorth,228,illinois,37,16.2,2,18
optum,1055,california,168,15.9,18,41
multiplan,452,california,68,15.0,5,30
healthpartners,411,minnesota,55,13.4,3,33
bluecross-blueshield,2035,california,258,12.7,27,48
cigna,1550,california,195,12.6,23,47
aetna,1781,california,203,11.4,23,48
humana,1049,california,117,11.2,14,42
amerihealth,434,california,48,11.1,5,31
wellcare,466,new-york,50,10.7,8,32
ambetter,2077,ohio,182,8.8,23,37
molina-healthcare,630,ohio,53,8.4,10,33
united-healthcare,1359,california,113,8.3,22,46
