carrier,label,national_all,national_ex_chain,from_chain_sites,pct_from_chains,states_touched_ex_chain
ambetter,Ambetter,2077,1246,831,40.0,39
bluecross-blueshield,Blue Cross Blue Shield (BCBS),2035,1156,879,43.2,50
aetna,Aetna,1781,1040,741,41.6,48
cigna,Cigna,1550,871,679,43.8,49
united-healthcare,UnitedHealthcare,1359,813,546,40.2,49
optum,Optum,1055,513,542,51.4,48
humana,Humana,1049,498,551,52.5,43
anthem,Anthem,1031,505,526,51.0,43
molina-healthcare,Molina Healthcare,630,266,364,57.8,31
magellan-health,Magellan Health,609,299,310,50.9,35
carelon-behavioral-health,Carelon Behavioral Health,600,307,293,48.8,43
kaiser-permanente,Kaiser Permanente,544,158,386,71.0,26
wellcare,WellCare,466,173,293,62.9,25
multiplan,MultiPlan,452,218,234,51.8,36
amerihealth,AmeriHealth,434,144,290,66.8,24
healthpartners,HealthPartners,411,145,266,64.7,34
health-net,Health Net,379,138,241,63.6,25
compsych,ComPsych,364,148,216,59.3,32
highmark,Highmark,301,130,171,56.8,26
first-health,First Health,291,153,138,47.4,34
intermountain-health,Intermountain Health,231,99,132,57.1,14
evernorth,Evernorth,228,98,130,57.0,29
mhn,MHN,218,121,97,44.5,29
carefirst,CareFirst,181,71,110,60.8,19
geha,GEHA,172,106,66,38.4,27
tufts-health,Tufts Health Plan,131,111,20,15.3,23
guidewell,GuideWell,95,47,48,50.5,12
oscar,Oscar Health,74,47,27,36.5,17
priority-health,Priority Health,0,0,0,,0
triwest,TriWest,0,0,0,,0
medical-mutual,Medical Mutual,0,0,0,,0
medi-cal,Medi-Cal,0,0,0,,0
veterans-affairs,Veterans Affairs (VA),0,0,0,,0
mvp-healthcare,MVP Healthcare,0,0,0,,0
