state,city_slug,city_name,assigned_in_city,within_30mi,bluecross_blueshield,aetna,cigna,united_healthcare,humana,ambetter,optum,anthem,live
new-york,new-york,New York,113,711,82,88,75,69,31,27,38,49,f
new-york,staten-island,Staten Island,21,697,81,89,74,69,31,34,36,45,f
new-york,brooklyn,Brooklyn,93,694,81,89,75,70,31,30,37,45,f
new-jersey,newark,Newark,20,691,77,85,71,64,30,30,35,43,f
new-york,bronx,Bronx,77,686,77,81,69,66,29,24,34,47,f
new-york,jamaica,Jamaica,15,673,75,80,68,64,28,24,33,45,f
new-jersey,paterson,Paterson,11,652,73,81,67,62,25,25,34,44,f
new-york,far-rockaway,Far Rockaway,10,638,69,75,63,60,26,22,29,37,f
maryland,columbia,Columbia,13,478,54,45,45,38,21,3,22,13,f
california,torrance,Torrance,13,472,87,71,72,46,36,2,51,60,f
california,los-angeles,Los Angeles,81,470,80,63,67,42,35,1,53,58,f
california,pasadena,Pasadena,23,440,63,49,54,31,32,2,40,41,f
maryland,glen-burnie,Glen Burnie,17,438,48,42,41,32,15,2,17,9,f
california,anaheim,Anaheim,17,433,88,67,67,46,37,3,53,64,f
connecticut,stamford,Stamford,10,433,49,45,43,45,27,3,20,54,f
maryland,silver-spring,Silver Spring,10,431,56,51,50,46,29,3,29,21,f
california,long-beach,Long Beach,20,427,76,55,58,38,28,2,50,54,f
illinois,chicago,Chicago,194,405,53,48,41,28,37,65,20,17,t
maryland,hyattsville,Hyattsville,13,393,52,47,46,42,29,3,29,21,f
maryland,baltimore,Baltimore,152,378,41,34,34,23,9,1,10,3,f
california,san-pedro,San Pedro,12,369,61,47,51,31,25,2,38,42,f
maryland,dundalk,Dundalk,10,368,42,35,36,20,11,1,13,3,f
california,huntington-beach,Huntington Beach,11,353,75,57,58,39,30,2,46,57,f
california,santa-ana,Santa Ana,14,346,78,59,59,39,33,3,45,57,f
maryland,rockville,Rockville,16,334,50,46,45,41,28,3,29,22,t
pennsylvania,philadelphia,Philadelphia,87,309,50,52,40,42,12,44,37,15,f
california,malibu,Malibu,32,299,78,60,56,39,33,0,52,58,f
california,costa-mesa,Costa Mesa,17,298,72,54,55,37,28,2,44,54,f
california,newport-beach,Newport Beach,17,292,72,54,55,37,28,2,44,54,f
district-of-columbia,washington,Washington,34,288,45,42,42,37,28,3,28,22,f
new-jersey,cherry-hill,Cherry Hill,18,288,48,50,39,38,12,39,33,16,f
maryland,westminster,Westminster,15,285,28,23,24,21,6,1,6,2,f
california,simi-valley,Simi Valley,83,265,73,56,53,38,32,0,49,56,t
arizona,phoenix,Phoenix,34,259,40,42,32,29,26,34,17,11,f
california,thousand-oaks,Thousand Oaks,21,257,69,53,50,35,29,0,47,54,t
