state,state_name,total_facilities,detox,residential,inpatient,php,iop,outpatient,mat,dual_diagnosis,sober_living,aftercare,virtual,recovery_coaching
california,California,1505,612,663,391,415,512,1269,909,1204,213,977,1171,341
new-york,New York,988,321,205,259,124,165,873,526,889,65,479,837,254
ohio,Ohio,866,350,245,171,289,346,837,501,735,115,478,805,157
pennsylvania,Pennsylvania,781,219,221,196,184,275,675,497,593,82,497,641,164
florida,Florida,769,352,291,269,220,216,721,469,659,100,486,602,156
illinois,Illinois,758,197,186,104,139,325,707,453,585,66,508,637,215
texas,Texas,676,236,166,193,142,252,643,387,562,55,418,528,230
maryland,Maryland,608,226,181,116,138,227,563,414,524,82,402,520,189
north-carolina,North Carolina,552,229,114,120,122,179,498,371,457,44,380,423,105
michigan,Michigan,524,180,91,116,72,139,502,332,476,48,333,463,246
kentucky,Kentucky,522,215,159,92,120,220,500,390,454,104,380,465,143
minnesota,Minnesota,519,157,165,109,129,243,472,333,435,62,338,430,169
arizona,Arizona,507,301,189,127,162,205,489,395,450,53,379,445,196
indiana,Indiana,494,197,110,148,66,141,455,391,400,42,379,418,265
new-jersey,New Jersey,487,176,119,113,191,259,453,331,428,52,326,408,126
massachusetts,Massachusetts,417,206,173,96,110,81,360,323,364,55,306,350,170
tennessee,Tennessee,406,155,89,73,65,176,385,300,345,56,298,359,163
virginia,Virginia,386,163,89,82,98,114,363,277,348,35,265,338,102
washington,Washington,385,96,65,80,26,195,374,231,284,29,240,334,44
utah,Utah,382,158,159,82,160,170,342,223,339,65,230,315,93
missouri,Missouri,353,137,85,65,65,135,332,237,304,26,238,302,70
georgia,Georgia,349,150,107,72,89,100,325,218,285,45,253,278,94
wisconsin,Wisconsin,345,106,53,73,54,68,328,189,300,20,181,311,46
colorado,Colorado,323,144,95,70,66,143,311,236,271,42,247,291,118
oregon,Oregon,255,106,83,43,44,97,245,172,209,27,175,234,66
iowa,Iowa,251,75,66,41,25,81,238,186,220,32,186,216,100
arkansas,Arkansas,244,94,73,71,89,46,237,123,226,29,130,225,48
louisiana,Louisiana,242,127,57,82,45,105,228,161,220,25,174,186,46
connecticut,Connecticut,234,125,78,54,53,80,211,156,220,10,143,189,100
idaho,Idaho,226,49,31,31,29,71,220,102,208,14,102,199,45
oklahoma,Oklahoma,196,65,47,29,10,52,180,139,177,12,128,175,68
alabama,Alabama,193,42,63,61,44,38,170,113,138,12,111,158,27
kansas,Kansas,176,55,54,40,15,68,164,126,143,15,134,142,55
south-carolina,South Carolina,170,35,20,28,14,38,160,86,142,5,91,136,29
maine,Maine,168,69,32,16,16,31,159,126,131,11,117,148,80
nevada,Nevada,161,42,45,36,27,45,149,83,148,27,81,139,41
new-mexico,New Mexico,154,69,31,25,15,42,145,115,134,19,119,128,28
west-virginia,West Virginia,148,89,53,32,16,31,135,116,134,12,116,126,73
nebraska,Nebraska,148,59,44,24,11,39,136,99,142,19,106,117,31
mississippi,Mississippi,145,63,46,45,52,34,139,77,136,12,86,112,27
montana,Montana,107,16,45,13,32,23,103,65,85,6,63,101,9
new-hampshire,New Hampshire,103,53,21,24,19,24,97,74,89,12,69,91,41
alaska,Alaska,94,21,33,15,13,27,89,62,80,6,63,84,13
hawaii,Hawaii,90,34,34,6,35,71,88,35,56,8,84,79,36
north-dakota,North Dakota,80,26,29,11,22,32,68,55,59,9,61,68,8
vermont,Vermont,71,34,24,25,13,9,66,51,67,4,48,61,27
south-dakota,South Dakota,65,15,27,16,5,22,56,32,52,11,39,49,11
rhode-island,Rhode Island,61,29,20,13,10,23,58,41,57,8,42,53,15
delaware,Delaware,59,24,17,7,4,21,56,36,48,14,31,52,24
wyoming,Wyoming,50,28,24,7,3,35,45,46,49,4,48,50,14
district-of-columbia,District of Columbia,34,8,5,7,7,13,29,22,32,2,24,31,16
