state,city_slug,city_name,facilities,band,live
illinois,chicago,Chicago,194,20+,t
maryland,baltimore,Baltimore,152,20+,f
new-york,new-york,New York,113,20+,f
minnesota,minneapolis,Minneapolis,100,20+,t
new-york,brooklyn,Brooklyn,93,20+,f
utah,salt-lake-city,Salt Lake City,93,20+,f
arizona,glendale,Glendale,87,20+,t
pennsylvania,philadelphia,Philadelphia,87,20+,f
nevada,las-vegas,Las Vegas,84,20+,f
california,simi-valley,Simi Valley,83,20+,t
california,los-angeles,Los Angeles,81,20+,f
new-york,bronx,Bronx,77,20+,f
ohio,columbus,Columbus,77,20+,f
colorado,denver,Denver,76,20+,f
texas,houston,Houston,73,20+,f
indiana,indianapolis,Indianapolis,72,20+,f
arizona,tucson,Tucson,70,20+,t
florida,miami,Miami,70,20+,f
minnesota,saint-paul,Saint Paul,69,20+,f
california,riverside,Riverside,59,20+,t
ohio,cleveland,Cleveland,58,20+,f
new-york,buffalo,Buffalo,55,20+,f
ohio,cincinnati,Cincinnati,55,20+,f
california,escondido,Escondido,51,20+,t
michigan,detroit,Detroit,49,20+,f
arizona,gilbert,Gilbert,48,20+,t
kentucky,louisville,Louisville,48,20+,f
oregon,portland,Portland,48,20+,t
wisconsin,milwaukee,Milwaukee,48,20+,f
florida,fort-lauderdale,Fort Lauderdale,45,20+,t
georgia,atlanta,Atlanta,45,20+,t
idaho,boise,Boise,45,20+,f
missouri,saint-louis,Saint Louis,45,20+,f
new-mexico,albuquerque,Albuquerque,44,20+,f
pennsylvania,pittsburgh,Pittsburgh,44,20+,f
north-carolina,charlotte,Charlotte,43,20+,t
texas,denton,Denton,41,20+,t
california,roseville,Roseville,40,20+,t
nebraska,omaha,Omaha,40,20+,f
ohio,dayton,Dayton,40,20+,f
washington,seattle,Seattle,39,20+,f
florida,clearwater,Clearwater,38,20+,t
california,san-francisco,San Francisco,37,20+,f
new-york,rochester,Rochester,37,20+,f
arizona,phoenix,Phoenix,34,20+,f
district-of-columbia,washington,Washington,34,20+,f
kentucky,lexington,Lexington,34,20+,f
texas,san-antonio,San Antonio,34,20+,f
arizona,chandler,Chandler,33,20+,t
