kind,listings_populated,pct_populated,values_total,values_negated,first_observed,last_observed,src_samhsa,src_findtreatment,src_facility_site,src_payer_qhp,src_recoveryexcellence
levels_of_care,17827,100.0,179405,29,2026-07-25,2026-07-29,17691,14985,7732,0,236
clientele,17820,100.0,147673,8,2026-07-25,2026-07-29,17686,10755,5973,0,228
payment_options,17749,99.6,173092,225,2026-07-25,2026-07-29,17637,14877,6669,0,0
age_groups,17721,99.4,108363,1,2026-07-25,2026-07-29,17559,14979,3102,0,31
therapies,17689,99.2,154978,3,2026-07-25,2026-07-29,17550,14342,4155,0,181
approaches,17627,98.9,82180,2,2026-07-25,2026-07-29,17434,14089,5870,0,235
conditions,16817,94.3,87887,4,2026-07-25,2026-07-29,16505,13048,4284,0,223
languages,15916,89.3,36256,0,2026-07-25,2026-07-27,8463,14988,0,0,0
substances,15333,86.0,66393,2179,2026-07-25,2026-07-29,14922,11179,4632,0,220
policies,14223,79.8,28505,19,2026-07-27,2026-07-29,0,14184,111,0,0
gender_program,12226,68.6,17933,0,2026-07-25,2026-07-29,12000,5152,732,0,11
accreditations,12167,68.3,34900,0,2026-07-25,2026-07-29,11569,4915,2109,0,0
insurance,11323,63.5,36295,394,2026-07-26,2026-07-29,8333,0,5411,1830,233
amenities,8150,45.7,11566,5,2026-07-27,2026-07-29,0,7186,1753,0,90
year_founded,2993,16.8,2993,0,2026-07-28,2026-07-29,0,0,2993,0,0
length_of_stay,1303,7.3,1303,0,2026-07-28,2026-07-29,0,0,1303,0,0
price_band,987,5.5,987,0,2026-07-28,2026-07-29,0,0,987,0,0
activities,554,3.1,781,0,2026-07-28,2026-07-29,0,0,554,0,0
setting,484,2.7,537,0,2026-07-28,2026-07-29,0,0,484,0,0
bed_count,449,2.5,449,0,2026-07-28,2026-07-29,0,0,449,0,0
accessibility,319,1.8,323,0,2026-07-28,2026-07-29,0,0,319,0,0
dietary,73,0.4,96,0,2026-07-28,2026-07-29,0,0,73,0,0
