carrier,listings_from_crawl,from_chain_sites,from_single_listing_sites,pct_chain
bluecross-blueshield,1929,898,535,46.6
aetna,1631,745,432,45.7
cigna,1408,679,367,48.2
united-healthcare,1234,556,320,45.1
optum,971,555,207,57.2
humana,923,537,171,58.2
anthem,856,509,181,59.5
molina-healthcare,611,374,90,61.2
magellan-health,553,311,112,56.2
kaiser-permanente,512,375,74,73.2
carelon-behavioral-health,493,270,105,54.8
wellcare,467,301,58,64.5
multiplan,425,242,84,56.9
ambetter,414,224,72,54.1
amerihealth,408,293,46,71.8
healthpartners,383,276,43,72.1
health-net,325,241,38,74.2
compsych,308,207,47,67.2
first-health,281,137,58,48.8
highmark,253,171,26,67.6
evernorth,228,135,43,59.2
intermountain-health,215,141,34,65.6
mhn,145,70,40,48.3
carefirst,137,99,19,72.3
geha,124,62,30,50.0
tufts-health,91,28,28,30.8
guidewell,80,47,20,58.8
oscar,53,23,14,43.4
