workbook_row,state_abbr,city,strict_25,strict_25_60,broad_25,broad_25_60,otp_25,geocode_status,residential_25,residential_25_60,inpatient_25,inpatient_25_60,detox_25,detox_25_60,php_25,php_25_60,iop_25,iop_25_60,adolescent_25,adolescent_25_60,young_adult_25,young_adult_25_60,women_25,women_25_60,men_25,men_25_60,pregnant_25,pregnant_25_60,veterans_25,veterans_25_60,seniors_25,seniors_25_60,criminal_justice_25,criminal_justice_25_60,eating_disorder_25,eating_disorder_25_60,tbi_25,tbi_25_60,first_episode_psychosis_25,first_episode_psychosis_25_60,alzheimers_25,alzheimers_25_60
8,AL,Birmingham,18,22,29,39,1,OK,7,13,3,6,6,5,3,5,6,5,1,9,9,11,10,10,8,12,6,9,8,13,11,10,7,14,4,4,1,2,1,3,1,3
9,AL,Huntsville,11,24,19,51,1,OK,2,10,1,6,4,0,5,3,5,12,2,14,8,21,5,23,5,23,2,14,4,22,5,26,6,28,0,10,1,6,1,2,1,2
10,AL,Montgomery,5,16,10,20,1,OK,1,5,3,6,0,2,1,6,2,3,1,0,4,3,3,2,3,3,3,2,6,5,6,8,4,6,0,4,2,2,0,1,1,1
11,AL,Mobile,10,12,13,22,0,OK,3,4,2,4,2,4,3,4,4,6,2,2,5,9,5,7,5,8,4,8,4,13,4,12,4,9,1,5,0,3,1,1,0,2
12,AL,Tuscaloosa,4,29,7,51,1,OK,3,11,2,5,1,9,2,6,2,9,1,6,2,16,2,15,2,13,2,8,1,13,2,17,3,12,1,8,1,4,1,3,2,2
13,AK,Anchorage,14,12,25,19,2,OK,7,4,2,1,2,3,1,2,6,6,2,2,12,7,10,6,9,5,7,3,8,5,10,4,11,4,4,2,7,5,2,1,0,0
14,AK,Fairbanks,1,0,3,2,0,OK,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,1,2,2,2,2,2,0,2,1,2,0,0,0,0,0,0,0,0
15,AZ,Phoenix,163,29,256,52,12,OK,56,16,30,6,36,8,77,10,89,16,56,10,124,16,119,14,134,16,77,10,135,14,113,14,132,21,41,10,27,4,12,3,15,2
16,AZ,Scottsdale,142,51,224,86,11,OK,48,23,25,10,30,12,68,20,82,23,51,15,106,35,105,30,123,28,70,19,116,34,99,29,118,36,36,13,23,8,10,6,11,6
17,AZ,Tucson,49,8,82,24,5,OK,17,2,10,0,11,0,16,0,29,6,13,2,25,3,30,3,28,3,23,3,31,2,26,4,37,5,11,0,9,0,7,0,2,0
