rank,city,state,ss,population,lat,lng,area_codes,ac_source
1,New York,New York,NY,8478072,40.74838,-73.99671,212 347 646 718 917 929 914 516,near
2,Los Angeles,California,CA,3878704,33.97309,-118.24790,213,exact
3,Chicago,Illinois,IL,2721308,41.88585,-87.61812,708 224 847,near
4,Houston,Texas,TX,2390125,29.59616,-95.45871,281 346 713 832,near
5,Phoenix,Arizona,AZ,1673164,33.45100,-112.06850,602,exact
6,Philadelphia,Pennsylvania,PA,1573916,39.86500,-75.27520,215 267,exact
7,San Antonio,Texas,TX,1526656,29.46852,-98.52635,210,exact
8,San Diego,California,CA,1404452,32.71852,-117.15932,619,exact
9,Dallas,Texas,TX,1326087,32.99685,-96.79211,214 469 972,exact
10,Jacksonville,Florida,FL,1009833,30.31630,-81.41750,904,exact
11,Fort Worth,Texas,TX,1008106,32.74690,-97.32680,682 817,exact
12,San Jose,California,CA,997368,37.38940,-121.88680,408 669,exact
13,Austin,Texas,TX,993588,30.21069,-97.94275,512 737,exact
14,Charlotte,North Carolina,NC,943476,35.22690,-80.84330,704 980,exact
15,Columbus,Ohio,OH,933263,40.14440,-82.97890,614,exact
16,Indianapolis,Indiana,IN,891484,39.93842,-86.13894,317,exact
17,San Francisco,California,CA,827526,37.77500,-122.41830,650 510 415 628,near
18,Seattle,Washington,WA,780995,47.61144,-122.33046,206,exact
19,Denver,Colorado,CO,729019,39.84056,-105.00799,303 720,exact
20,Oklahoma City,Oklahoma,OK,712919,35.33370,-97.49220,405,exact
21,Nashville-Davidson,Tennessee,TN,704963,,,,
22,Washington,District of Columbia,DC,702250,38.91222,-77.01769,202,exact
23,El Paso,Texas,TX,681723,31.75841,-106.47831,915,exact
24,Las Vegas,Nevada,NV,678922,36.17208,-115.12237,702 725,near
25,Boston,Massachusetts,MA,673458,42.35760,-71.06843,617 857 339 781 351 978,near
26,Detroit,Michigan,MI,645705,42.34743,-83.06040,313,exact
27,Louisville/Jefferson County,Kentucky,KY,640796,,,,
28,Portland,Oregon,OR,635749,45.44292,-122.61509,503 971,exact
29,Memphis,Tennessee,TN,610919,35.03370,-89.93430,901,exact
30,Baltimore,Maryland,MD,568271,39.17185,-76.64829,410 443 667,exact
31,Milwaukee,Wisconsin,WI,563531,43.03430,-87.91510,414 262,near
32,Albuquerque,New Mexico,NM,560326,35.09360,-106.64230,505,exact
33,Tucson,Arizona,AZ,554013,32.21387,-110.96944,520,exact
34,Fresno,California,CA,550105,36.84111,-119.80036,559,exact
35,Sacramento,California,CA,535798,38.58160,-121.49330,916 530,near
36,Atlanta,Georgia,GA,520070,33.74979,-84.31685,404 678 770,exact
37,Mesa,Arizona,AZ,517151,33.43174,-111.84693,480,exact
38,Kansas City,Missouri,MO,516032,39.16319,-94.56988,816,exact
39,Raleigh,North Carolina,NC,499825,35.77270,-78.63244,919 984,near
40,Colorado Springs,Colorado,CO,493554,38.83350,-104.82060,719,exact
41,Omaha,Nebraska,NE,489265,41.26100,-95.93760,402 531,exact
42,Miami,Florida,FL,487014,25.77900,-80.19820,305 786 321 407 561 754 954,near
43,Virginia Beach,Virginia,VA,454808,36.85270,-75.97830,757,exact
44,Long Beach,California,CA,450901,33.77050,-118.18850,562,exact
45,Oakland,California,CA,443554,37.78059,-122.21659,510,exact
46,Minneapolis,Minnesota,MN,428579,45.04958,-93.24609,612,exact
47,Bakersfield,California,CA,417468,35.38661,-119.01706,661,exact
48,Tulsa,Oklahoma,OK,415154,36.05566,-96.06023,539 918,exact
49,Tampa,Florida,FL,414547,28.08790,-82.45930,813,exact
50,Arlington,Texas,TX,403672,32.63360,-97.14690,214 682 817,exact
51,Aurora,Colorado,CO,403130,39.73781,-104.81523,303 720,exact
52,Wichita,Kansas,KS,400991,37.68980,-97.34150,316,exact
53,Cleveland,Ohio,OH,365379,41.49180,-81.67570,216 440,near
54,New Orleans,Louisiana,LA,362701,29.96307,-90.16095,504,exact
55,Henderson,Nevada,NV,350039,35.99268,-114.95168,702 725,exact
56,Urban Honolulu,Hawaii,HI,344967,,,,
57,Anaheim,California,CA,344561,33.84268,-117.95404,657 714,exact
58,Orlando,Florida,FL,334854,28.49882,-80.58248,321 407,exact
59,Lexington-Fayette urban county,Kentucky,KY,329437,,,,
60,Stockton,California,CA,324975,37.95800,-121.28760,209,exact
